"Food Resource Type","Agency","Location","Operational Status","Who They Serve","Address","Latitude","Longitude","Phone Number","Website","Days/Hours","Date Updated"
"Meal","Phinney Neighborhood Association","St. John United Lutheran Church","Open","General Public","5515 Phinney Ave N, Seattle, WA 98103",,,"(206)-783-2244","https://www.phinneycenter.org/hotmeal/","Monday, Tuesday, Wednesday","8/12/2025"
"Meal","YouthCare","Orion Center","Open","Youth and Young Adults","1828 Yale Ave, Seattle, WA 98101","47.6182683","-122.3305192","(206)-622-5555","https://www.youthcare.org/homeless-youth-services/engagement-services/youthcares-orion-center/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","8/7/2025"
"Meal","YouthCare","U-District Youth Center","Open","Youth and Young Adults","4516 15th Ave NE, Seattle, WA 98105","47.661853","-122.311609","(206)-622-5555","https://www.youthcare.org/get-help/","Sunday, Monday, Tuesday, Wednesday, Thursday","8/12/2025"
"Food Bank","YWCA","Central Area Food Bank","Open","General Public","2820 E Cherry St, Seattle, WA 98122","47.608328","-122.2958409","(206)-375-1496","https://www.ywcaworks.org/programs/central-area-food-bank","Wednesday","8/5/2025"
"Food Bank","Cultivate South Park","Cultivate South Park","Open","General Public","614 S Riverside Drive, Seattle, WA 98108","47.5350237","-122.3263116","N/A","https://www.cultivatesouthpark.org","Tuesday, Friday","11/5/2025"
"Meal","Vashon Maury Community Food Bank","Vashon Maury Community Food Bank","Open","Youth and Young Adults","10500 SW 228th St, Vashon, WA 98070","47.4007749","-122.4688823","(206)-463-6332","https://www.vashonfoodbank.org/","Monday, Tuesday, Wednesday, Thursday, Friday","2/1/2025"
"Meal","Vashon Senior Center","Vashon Senior Center","Open","Older Adults 55+ Who Have Requested Meals","10004 SW Bank Rd, Vashon, WA 98070","47.4475822","-122.4620178","(206)-463-5173","https://www.vashoncenter.org/lunch-delivery","Monday, Wednesday, Friday","8/5/2025"
"Food Bank","Kent Food Bank and Emergency Services","Birch Creek Apartment","Open","General Public","27360 129th Place S., Kent, WA 98030","47.3546154","-122.1695967","(253)-520-3550","https://www.kentfoodbank.org/","Monday","2/1/2026"
"Food Bank & Meal","Alimentando al Pueblo","Alimentando al Pueblo","Open","General Public","15003 14th Ave SW, Burien, WA 98166","47.468217","-122.3529814","(206)-636-9575","https://www.alimentandoalpueblo.org/",,"2/4/2026"
"Meal","Bakhita Gardens","Bakhita Gardens","Open","Contact Agency for Any Eligibility Requirements","118 Bell St, Seattle, WA 98121","47.6139347","-122.3459893","(206)-456-3100","https://ccsww.org/services/rose-of-lima-house/","Wednesday","2/4/2026"
"Food Bank","Brooklake Church","Brooklake Church","Open","General Public","629 S 356th St, Federal Way, WA 98003","47.282046","-122.3256676","(253)-517-8198","https://www.brooklake.org/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday","2/4/2026"
"Food Bank","Center for MultiCultural Health","Center for MultiCultural Health","Open","Contact Agency for Any Eligibility Requirements","801 25th Ave, Seattle, WA 98122","47.609283","-122.3005353","(206)-461-6910","https://www.centerformulticulturalhealth.org/","Friday","2/4/2026"
"Meal","Chief Seattle Club","Chief Seattle Club","Open","Contact Agency for Any Eligibility Requirements","410 2nd Ave Ext S, Seattle, WA 98104","47.6012206","-122.3310925","(206)-715-7536","https://www.chiefseattleclub.org/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/4/2026"
"Food Bank","Community Resource Network","Community Resource Network","Open","Contact Agency for Any Eligibility Requirements","14390 NE 189th Pl, Woodinville,  WA 98072","47.7647921","-122.1483885","(425)-481-4497","https://circliving.org/community/greenbrier-senior-apartments/","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/4/2026"
"Food Bank","Community Resource Network","Community Resource Network","Open","General Public","14616 35th Ave SE, Mill Creek,  WA 98012","47.8647339","-122.1870411","(253)-661-1250","https://www.ourventure.church/kb-programs-events","Monday","2/4/2026"
"Food Bank","Community Resource Network","Light House Four Square Church","Open","Contact Agency for Any Eligibility Requirements","15725 Simonds Rd NE, Kenmore, WA 98028","47.7430346","-122.2277786","N/A","https://lighthouse4square.org/",,"2/4/2026"
"Food Bank","Community Resource Network","Community Resource Network","Open","General Public","604 Ave C E, Snohomish, WA 98290","47.9194448","-122.0965079","(360)-568-5886","https://www.mycrossview.com/","Monday, Wednesday","2/4/2026"
"Food Bank","Ember Church","Ember Church","Open","General Public","14434 NE 8th St, Bellevue, WA 98007","47.6176373","-122.1463239","(425)-954-7036","https://emberchurch.org/","Sunday, Monday","2/4/2026"
"Food Bank & Meal","For All","For All","Open","General Public","903 E Yesler Wy, Seattle, WA 98122","47.6011076","-122.3215355","N/A","https://www.freefoodforall.org/","Sunday, Saturday","2/4/2026"
"Food Bank","Friends of the Children Seattle","Friends of the Children Seattle","Open","Contact Agency for Any Eligibility Requirements","4436 Rainier Ave, Seattle WA 98118","47.5630626","-122.2875122","(206)-328-3535","http://friendsseattle.org/",,"2/4/2026"
"Meal","Hunger Intervention Program","Aki Kurose Village","Open","Contact Agency for Any Eligibility Requirements","11506 Stone Ave N, Seattle, WA 98133","47.7127728","-122.3415655","(206)-538-6567","https://hungerintervention.org/",,"2/4/2026"
"Meal","Hunger Intervention Program","Lamb of God Lutheran Church","Open","Contact Agency for Any Eligibility Requirements","12509 27th Ave NE, Seattle, WA 98125","47.7196732","-122.2996593","(206)-538-6567","https://hungerintervention.org/",,"2/4/2026"
"Meal","Hunger Intervention Program","Lake City Court","Open","Contact Agency for Any Eligibility Requirements","12536 33rd Ave NE, Seattle, WA 98125","47.7203805","-122.2917535","(206)-538-6567","https://hungerintervention.org/",,"2/4/2026"
"Meal","Hunger Intervention Program","Hunger Intervention Program","Open","Contact Agency for Any Eligibility Requirements","3841 NE 123rd St Seattle, WA 98122","47.717042","-122.2857324","(206)-538-6567","https://hungerintervention.org/",,"2/4/2026"
"Food Bank","ICNA Relief","ICNA Relief","Open","General Public","6721 Martin Luther King Jr Way S, Seattle, WA 98118","47.541886","-122.284044","(206)-695-2080","https://icnarelief.org/washington/","Thursday","2/4/2026"
"Food Bank","IHCGM","IHCGM","Open","Contact Agency for Any Eligibility Requirements","30815 B  Pacific Highway S, Federal Way, WA 98003","47.3254052","-122.3139776","(206)-592-2626",,"Thursday","2/4/2026"
"Food Bank & Meal","Iu Mien American Association (IMAA)","Iu Mien American Association (IMAA)","Open","General Public","126 Logan Ave S, Renton, WA 98057","47.481806","-122.2087821","(206)-723-6834","https://imaa-seattle.org/","Friday","2/4/2026"
"Food Bank","King of Kings Foodbank","King of Kings Foodbank","Open","General Public","18207 108th Ave SE Renton, WA 98055","47.4391217","-122.1979638","(425)-226-1480","https://www.king-of-kings.org/","Monday, Tuesday, Wednesday, Saturday","2/4/2026"
"Food Bank","Lutheran Community Services NW","Lutheran Community Services NW","Open","General Public","4040 S 188th St, Suite 100, SeaTac, WA 98188","47.4347675","-122.2824819","(206)-901-1685","https://www.lcsnw.org/","Thursday","2/4/2026"
"Food Bank","NW Life Foundation","NW Life Foundation","Open","Youth and Young Adults","13120 SE 192nd St, Renton, WA 98058","47.4309146","-122.1659094","(253)-638-8470","https://nwlifefoundation.com/","Tuesday, Wednesday, Thursday, Friday","2/4/2026"
"Meal","Operation Sack Lunch, Inc.","OSL","Open","General Public","115 S Brandon St, Seattle, WA 98108","47.5539241","-122.3331017","(206)-347-6629","https://www.oslserves.org/",,"2/4/2026"
"Meal","Operation Sack Lunch, Inc.","YWCA Opportunity Place","Open","Contact Agency for Any Eligibility Requirements","2024 3rd Ave, Seattle, WA 98121","47.6130256","-122.3415787","(206)-347-6629","https://www.oslserves.org/",,"2/4/2026"
"Meal","Operation Sack Lunch, Inc.","OSL","Open","General Public","3841 NE 123rd St, Seattle, WA 98125","47.717042","-122.2857324","(206)-347-6629","https://www.oslserves.org/","Wednesday","2/4/2026"
"Meal","Operation Sack Lunch, Inc.","OSL","Open","Contact Agency for Any Eligibility Requirements","700 Virginia St, Seattle, WA 98101","47.6153602","-122.3374101","(206)-347-6629","https://www.oslserves.org/","Monday, Tuesday, Wednesday, Thursday, Friday","2/4/2026"
"Food Bank","Pacific Islander Community Association","Pacific Islander Community Association","Open","General Public","33710 9th Ave S, Federal Way, WA 98003","47.2994051","-122.3220645","(206)-686-5221","https://www.picawa.org/","Thursday","2/4/2026"
"Food Bank","Praisealujah","Praisealujah","Open","General Public","13609 1st Ave S, Burien, WA 98168","47.4809242","-122.3370002","(206)-251-8971","https://praisealujah.org/community-based-services","Sunday","2/5/2026"
"Food Bank","Praisealujah","Praisealujah","Open","General Public","20832 International Blvd, SeaTac, WA 98198","47.4144935","-122.2965291","(206)-251-8971","https://praisealujah.org/community-based-services","Saturday","2/5/2026"
"Food Bank","Praisealujah","Praisealujah","Open","General Public","25440 Pacific Hwy S, Kent, WA 98032","47.3729828","-122.2999657","N/A",,,"2/5/2026"
"Food Bank","Praisealujah","Freedom Church of Seattle","Open","General Public","7817 S 125th St, Seattle, WA 98178","47.4904973","-122.2347174","N/A","https://freedomchurchofseattle.weebly.com/",,"2/5/2026"
"Food Bank","Praisealujah","Praisealujah","Open","General Public","8240 64th St NE, Marysville, WA 98270","48.0530476","-122.1207544","N/A",,,"2/5/2026"
"Food Bank","Praisealujah","North Hill Christian Church","Open","General Public","908 S 200th St, Des Moines, WA 98198","47.4234868","-122.3228325","(206)-878-4740","https://www.northhillchristian.org/free-food-friday/","Friday","2/5/2026"
"Meal","Rainier Vista Boys & Girls Club","Rainier Vista Boys & Girls Club","Open","Youth and Young Adults","4520 MLK Wy, Seattle, WA 98108","47.5626423","-122.2937256","(206)-436-1890","https://positiveplace.org/clubs/smilow-rainier-vista",,"2/5/2026"
"Meal","Renton Technical College","Renton Technical College","Open","Contact Agency for Any Eligibility Requirements","3000 NE 4th St, Renton, WA 98056","47.4892601","-122.1762473","(425)-235-2352","https://www.rtc.edu/",,"2/5/2026"
"Food Bank","Restore and Repair Outreach","Restore and Repair Outreach","Open","General Public","12629 Renton Ave S  Suite F, Seattle, WA 98178","47.4904151","-122.239492","(206)-650-9649","https://www.restorerepairmissionaryoutreach.org/","Wednesday, Friday","2/5/2026"
"Food Bank","Skykomish","Skykomish","Open","General Public","108 W Old Cascade Hwy, Skykomish, WA 98288","47.7088797","-121.3764638","(206)-399-2687","https://skykomishfoodbank.org/","Friday","2/5/2026"
"Meal","St. Dunstan's Episcopal Church","St. Dunstan's Episcopal Church","Open","General Public","722 N 145th St, Shoreline, WA 98133","47.7347114","-122.349521","(206)-363-4319","https://sdchp.org/","Tuesday","2/5/2026"
"Meal","St. Martin De Porres Shelter","St. Martin De Porres Shelter","Open","Contact Agency for Any Eligibility Requirements","1561 Alaskan Way S, Seattle, WA 98134","47.5885034","-122.3385348","(206)-323-6341","https://www.ccsww.org/stmartin","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/5/2026"
"Meal","St. James Cathedral","Cathedral Kitchen","Open","General Public","804 9th Ave, Seattle, WA 98104","47.607646","-122.3259157","(206)-264-2091","https://www.stjames-cathedral.org/outreach/kitchen.aspx","Monday, Tuesday, Wednesday, Thursday, Friday","8/12/2025"
"Meal","Sound Generations","South Park Senior Citizens","Open","Older Adults 55+ and Eligible Participants","8201 10th Ave S, Seattle, WA 98108","47.5296153","-122.320528","(206)-909-0346","https://www.spseniors.org/","Monday, Wednesday, Friday","8/5/2025"
"Food Bank","Urban Food Systems Pact","Urban Food Systems Pact","Open","General Public","12643 Renton Ave S Seattle, WA 98178","47.4900561","-122.2389931","(425)-728-0455","https://app.vomo.org/org/urban-food-systems-pact/profile",,"2/5/2026"
"Meal","Vedic Cultural Center","Vedic Cultural Center","Open","Contact Agency for Any Eligibility Requirements","13668 SE Eastgate Way, Bellevue WA 98005","47.5809349","-122.1583137","(425)-452-6800","https://bellevuewa.gov/city-government/departments/city-managers-office/office-housing/homelessness-bellevue/eastside-mens-shelter","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/5/2026"
"Meal","Vedic Cultural Center","Vedic Cultural Center","Open","General Public","1420 228th Ave SE, Sammamish, WA 98075","47.5963216","-122.0345073","(206)-979-8002","https://vedicculturalcenter.org/","Sunday, Saturday","2/5/2026"
"Meal","Vedic Cultural Center","Vedic Cultural Center","Open","Contact Agency for Any Eligibility Requirements","16305 NE 87th St, Suite 110 Redmond, WA 98052","47.6794762","-122.1223595","N/A",,,"2/5/2026"
"Meal","Vedic Cultural Center","Vedic Cultural Center","Open","Contact Agency for Any Eligibility Requirements","5034 University Way NE Seattle, WA 98105","47.6660333","-122.3126175","N/A",,,"2/5/2026"
"Meal","West African Community Council","West African Community Council","Open","Contact Agency for Any Eligibility Requirements","6322 44th Ave S, Seattle, WA 98118","47.5453084","-122.2778957","N/A","https://www.waccofseattle.org/","Monday, Tuesday, Wednesday, Thursday, Friday","2/5/2026"
"Meal","YMCA of Greater Seattle","YMCA of Greater Seattle","Open","Contact Agency for Any Eligibility Requirements","909 4th Ave, Seattle, WA, Seattle, 98104","47.6054636","-122.3327052","N/A","https://www.seattleymca.org/social-impact-center/youth-young-adults/drop-in-services","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","2/5/2026"
"Meal","YMCA of Greater Seattle","POPYs Caf�","Open","General Public","4514 20th Ave NE, Shoreline, WA 98155","47.734046","-122.3070896",,"https://www.seattleymca.org/blog/supporting-our-community-during-time-increased-food-insecurity","Wednesday","2/5/2026"
"Meal","YMCA of Greater Seattle","Pantry of Hope","Open","General Public","10828 SE 248th St, Kent, WA 98030","47.3797615","-122.1953258",,"https://www.seattleymca.org/blog/supporting-our-community-during-time-increased-food-insecurity","Friday","2/5/2026"
